matrix_name,program_type,best_schedule,waco_time_ms,fixed_csr_time_ms
Zd_Jac6,sddmm,32768 4 1 j1 j0 i1 i0 k1 k0 0 0 1 1 j1 48 2 = 9.90166 ms,9.90166,9.68274
Zd_Jac6_db,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 9.21524 ms,9.21524,9.16761
Zhao1,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 8.89036 ms,8.89036,8.94488
Zhao2,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 8.83767 ms,8.83767,8.94709
a0nsdsil,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 8 = 9.77178 ms,9.77178,10.2594
a2nnsnsl,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 8 = 9.78389 ms,9.78389,10.1893
a5esindl,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 9.17127 ms,9.17127,9.56347
abtaha2,sddmm,1 4 32 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.58371 ms,8.58371,8.84027
af23560,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 0.304618 ms,0.304618,9.03508
aft01,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 8.72213 ms,8.72213,8.88008
aft02,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 2 = 8.71154 ms,8.71154,8.73
airfoil_2d,sddmm,1 1 8 i1 j1 j0 i0 k1 k0 1 1 0 0 i1 48 4 = 0.541544 ms,0.541544,8.91334
ak2010,sddmm,1 4 128 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 32 = 9.05835 ms,9.05835,9.24536
al2010,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 14.1421 ms,14.1421,15.2125
amazon-2008,sddmm,1 4 1 j1 i1 i0 j0 k1 k0 0 1 1 1 j1 48 16 = 27.4555 ms,27.4555,29.363
amazon0302,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 14.4789 ms,14.4789,14.7263
amazon0312,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 19.9985 ms,19.9985,19.9998
amazon0505,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 19.9995 ms,19.9995,20.0024
amazon0601,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 19.9996 ms,19.9996,23.5735
apache1,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 8 = 9.91478 ms,9.91478,10.4525
apache2,sddmm,32 1 1 i1 i0 j1 j0 k1 k0 0 0 0 1 i1 48 8 = 20.0005 ms,20.0005,26.8122
appu,sddmm,1 1 128 j1 j0 i1 k1 i0 k0 0 1 0 0 j1 48 4 = 10.4957 ms,10.4957,10.7145
ar2010,sddmm,2 1 8 i1 i0 j1 j0 k1 k0 0 1 0 0 i1 48 32 = 12.5033 ms,12.5033,13.9417
as-caida,sddmm,1 1 8 i1 j1 i0 j0 k1 k0 1 1 0 1 i1 48 16 = 0.49487 ms,0.49487,8.88796
astro-ph,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 8.8704 ms,8.8704,8.95067
aug3dcqp,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 8.86868 ms,8.86868,8.96654
auto,sddmm,4 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 36.0039 ms,36.0039,43.8383
av41092,sddmm,1 16 128 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 1 = 9.41462 ms,9.41462,9.93712
az2010,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 13.7539 ms,13.7539,14.6992
barrier2-1,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 15.0219 ms,15.0219,15.8183
barrier2-10,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 15.1793 ms,15.1793,16.008
barrier2-11,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 15.0249 ms,15.0249,15.8337
barrier2-12,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 14.9584 ms,14.9584,15.7538
barrier2-2,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 14.8588 ms,14.8588,15.7051
barrier2-3,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 14.7737 ms,14.7737,15.4058
barrier2-4,sddmm,1 1 1 j1 j0 i1 i0 k1 k0 0 1 1 0 j1 48 32 = 15.2035 ms,15.2035,16.028
barrier2-9,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 15.1935 ms,15.1935,16.0596
bas1lp,sddmm,8 1 1 i1 j1 j0 i0 k1 k0 1 1 0 0 i1 48 4 = 8.93692 ms,8.93692,8.92084
bauru5727,sddmm,1 16 1 j1 j0 i1 i0 k1 k0 0 1 1 1 j1 48 2 = 8.92005 ms,8.92005,9.03676
baxter,sddmm,1 1 1 j1 i1 i0 j0 k1 k0 0 1 0 1 j1 48 16 = 8.84826 ms,8.84826,8.86908
bayer01,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 9.29184 ms,9.29184,9.38548
bayer04,sddmm,8 1 1 i1 i0 j1 j0 k1 k0 1 1 0 1 i1 48 2 = 8.75954 ms,8.75954,8.8154
bbmat,sddmm,32768 8 64 j1 j0 i1 i0 k1 k0 0 0 0 1 j1 48 2 = 9.60669 ms,9.60669,9.78315
bcircuit,sddmm,1 8 1 j1 j0 i1 i0 k1 k0 0 1 0 1 j1 48 4 = 9.58479 ms,9.58479,9.77379
bcsstk15,sddmm,1 1 1 j1 i1 j0 i0 k1 k0 0 1 1 1 j1 48 8 = 8.68341 ms,8.68341,8.73787
bcsstk16,sddmm,32768 1 1 j1 j0 i1 i0 k1 k0 0 0 0 0 j1 48 8 = 8.84955 ms,8.84955,8.83179
